site,year,inc,sd
US.Bar,2005,160.6001925,14.51511123
US.Bar,2006,185.4606962,14.54192301
US.Bar,2007,159.9943699,13.80763302
US.Bar,2008,164.1585611,12.68813015
US.Bar,2009,145.1432329,12.53219593
US.Bar,2010,209.6783243,17.58041297
US.Bar,2011,154.620603,14.14797843
US.Bar,2012,192.7127877,18.42464305
US.Bar,2013,144.1978227,14.31881103
US.Bar,2014,187.7533333,15.16191096
US.Bar,2015,166.338416,14.30353882
US.Bar,2016,118.3443415,14.46995093
US.Bar,2017,152.9410963,13.55627352
US.Ha1,1992,202.860879,16.67866604
US.Ha1,1993,247.1801242,9.748416464
US.Ha1,1994,250.1428937,10.33668386
US.Ha1,1995,238.2715057,7.816500822
US.Ha1,1996,222.6833986,9.469815973
US.Ha1,1997,224.949785,8.407118318
US.Ha1,1998,255.7017239,7.390821396
US.Ha1,1999,210.6274502,9.287361327
US.Ha1,2000,236.0826953,7.354939567
US.Ha1,2001,258.5277954,7.733323198
US.Ha1,2002,257.9422021,7.44107233
US.Ha1,2003,222.6938869,9.232127426
US.Ha1,2004,262.8390291,8.50986099
US.Ha1,2005,271.9947025,10.1710274
US.Ha1,2006,274.8258144,10.57098742
US.Ha1,2007,305.0414441,16.25000685
US.Ha1,2008,324.3077367,20.58347121
US.Ha1,2009,306.9047538,15.69970677
US.Ha1,2010,308.7961958,16.7357797
US.Ha1,2011,271.002611,9.21776418
US.Ha1,2012,263.2804513,9.745057088
US.Ho1,1996,139.5153436,5.266849147
US.Ho1,1997,149.3304131,5.147041443
US.Ho1,1998,157.7323833,4.546660123
US.Ho1,1999,153.8693692,3.883544291
US.Ho1,2000,159.3503732,4.227988715
US.Ho1,2001,167.9897877,4.203528311
US.Ho1,2002,163.7214946,4.072985413
US.Ho1,2003,142.6053684,5.026206333
US.Ho1,2004,150.6427981,4.780998379
US.Ho1,2005,166.545906,4.532701357
US.Ho1,2006,169.0894482,6.848108714
US.Ho1,2007,177.9239486,6.429524472
US.Ho1,2008,172.27277,6.215048351
US.Ho1,2009,156.2468708,6.192500517
US.Ho1,2010,183.9751281,6.316747775
US.Ho1,2011,150.0228276,5.889403378
US.Ho1,2012,167.9810747,5.807636879
US.Ho1,2013,156.7217352,7.690519399
US.MMS,1999,308.1821698,16.22523346
US.MMS,2000,302.8907609,14.11986363
US.MMS,2001,372.4126497,28.16074656
US.MMS,2002,315.165821,14.4363151
US.MMS,2003,308.0962874,13.90319289
US.MMS,2004,300.5735028,17.64998527
US.MMS,2005,303.6145465,13.57024196
US.MMS,2006,328.2538523,15.61973898
US.MMS,2007,267.2897995,19.4631698
US.MMS,2008,294.1871814,18.21645608
US.MMS,2009,303.6711718,15.29582912
US.MMS,2010,319.7696138,20.19186305
US.MMS,2011,239.7040834,19.08158885
US.MMS,2012,185.9954415,33.58720948
US.MMS,2013,230.524314,30.7040545
US.NR1,1999,176.7357621,5.979254017
US.NR1,2000,167.9628942,6.336714609
US.NR1,2001,153.8077837,3.48030417
US.NR1,2002,125.9109015,3.617172613
US.NR1,2003,137.7176092,2.525958368
US.NR1,2004,127.9607099,3.927865984
US.NR1,2005,156.573089,2.772774699
US.NR1,2006,137.2375241,3.609281566
US.NR1,2007,155.5852054,2.698990346
US.NR1,2008,132.7234354,3.011732762
US.NR1,2009,140.912135,2.594388243
US.NR1,2010,145.4112721,2.904086645
US.NR1,2011,151.2319054,3.294980463
US.NR1,2012,140.9187421,3.333313627
US.UMB,2000,163.2402761,6.859308932
US.UMB,2001,157.5293014,6.681334263
US.UMB,2002,147.3936448,5.748574145
US.UMB,2003,151.7299648,6.558208645
US.UMB,2004,166.2344677,7.594248027
US.UMB,2005,143.8611837,5.858131679
US.UMB,2006,154.0955764,7.047803341
US.UMB,2007,150.9543272,5.845942721
US.UMB,2008,153.9209392,8.571788026
US.UMB,2009,147.551237,9.792958073
US.UMB,2010,159.8813278,12.33068836
US.UMB,2011,162.0101067,7.142245475
US.UMB,2012,177.9942092,12.37589742
US.UMB,2013,149.4646471,8.342837373
